Estado Civil;Horário Aula Dia/Noite;Escolaridade Materna;Escolaridade Paterna;Profissão Materna;Profissão Paterna;Necessidades Educacionais Especiais;Devedor de mensalidade;Mensalidade em Dia;Sexo;Bolsista;Idade na Inscrição;Disciplinas Aprovadas no Semestre;Taxa de Desemprego;Taxa de inflação;Resultado
1;1;37;37;6;7;0;0;1;0;0;18;6;13.9;-0.3;Formado
1;1;1;38;4;7;0;0;1;0;1;18;3;8.9;1.4;Inscrito
1;1;19;19;9;9;0;0;1;0;0;19;5;10.8;1.4;Formado
1;1;1;38;4;7;0;0;1;0;0;18;6;10.8;1.4;Formado
1;1;37;37;9;9;0;0;1;0;0;18;6;7.6;2.6;Evasão
1;1;38;38;9;5;0;0;1;0;0;20;6;13.9;-0.3;Inscrito
1;1;19;37;9;7;0;0;1;0;1;20;2;7.6;2.6;Inscrito
1;1;19;19;3;3;0;0;1;0;0;20;3;12.4;0.5;Inscrito
1;1;37;38;9;7;0;0;1;0;0;18;5;9.4;-0.8;Formado
1;1;2;19;4;5;0;0;1;0;0;18;5;11.1;0.6;Formado
1;1;1;1;4;5;0;0;1;0;0;21;3;9.4;-0.8;Evasão
1;1;19;19;9;7;0;0;1;0;0;19;5;16.2;0.3;Formado
1;1;3;19;2;9;0;0;1;0;0;19;0;10.8;1.4;Evasão
1;1;38;38;9;9;0;0;1;0;1;19;5;9.4;-0.8;Formado
1;1;19;38;4;7;0;0;1;0;0;19;6;15.5;2.8;Formado
1;1;1;1;4;5;0;0;1;0;0;19;5;13.9;-0.3;Evasão
1;1;37;37;9;9;0;0;1;0;0;20;6;12.4;0.5;Formado
1;1;19;38;9;3;0;0;1;0;1;18;5;9.4;-0.8;Inscrito
1;1;1;39;5;3;0;0;1;0;0;18;6;12.4;0.5;Formado
1;1;1;37;8;9;0;0;1;0;0;19;7;12.4;0.5;Formado
1;1;19;19;5;8;0;0;1;0;1;18;7;13.9;-0.3;Evasão
1;1;37;37;9;9;0;0;1;0;0;18;6;7.6;2.6;Formado
1;1;1;19;4;8;0;0;1;0;0;19;5;8.9;1.4;Formado
1;1;1;19;3;3;0;0;1;0;0;19;5;13.9;-0.3;Evasão
1;1;38;37;9;7;0;0;1;0;0;20;9;7.6;2.6;Formado
1;1;1;38;3;9;0;1;0;0;1;19;5;12.4;0.5;Evasão
1;1;19;19;5;5;0;0;1;0;0;20;4;7.6;2.6;Formado
1;1;1;1;141;175;0;1;1;0;1;18;6;8.9;1.4;Formado
1;1;19;1;4;7;0;0;1;0;1;20;5;11.1;0.6;Inscrito
1;1;19;1;4;8;0;0;1;0;0;18;7;13.9;-0.3;Formado
1;1;37;37;9;9;0;0;1;0;0;19;6;7.6;2.6;Formado
1;1;19;1;4;4;0;0;1;0;1;19;6;12.4;0.5;Formado
1;1;3;1;3;3;0;1;0;0;0;22;0;8.9;1.4;Inscrito
1;1;1;12;9;10;0;0;1;0;1;19;6;12.4;0.5;Formado
1;1;19;19;9;7;0;0;1;0;1;19;7;15.5;2.8;Formado
1;1;37;38;5;6;0;0;1;0;1;19;5;9.4;-0.8;Formado
1;1;12;19;9;9;0;0;1;0;0;19;0;7.6;2.6;Evasão
1;1;1;37;9;10;0;0;1;0;0;20;5;7.6;2.6;Evasão
1;1;3;19;2;10;0;0;1;0;0;18;5;13.9;-0.3;Formado
1;1;1;19;9;9;0;0;1;0;1;20;6;11.1;0.6;Formado
1;1;3;37;2;8;0;0;1;0;0;18;0;9.4;-0.8;Inscrito
1;1;1;38;4;7;0;0;1;0;0;19;5;7.6;2.6;Formado
1;1;38;38;7;6;0;0;1;0;0;18;3;9.4;-0.8;Inscrito
1;1;37;37;9;9;0;0;1;0;0;18;6;7.6;2.6;Formado
1;1;3;37;2;5;0;0;1;0;0;21;3;9.4;-0.8;Evasão
1;1;38;37;6;6;0;0;1;0;0;19;6;7.6;2.6;Evasão
1;1;38;38;9;9;0;0;1;0;1;18;5;12.4;0.5;Formado
1;1;1;37;7;9;0;0;1;0;1;18;6;12.7;3.7;Formado
1;1;19;1;9;10;0;0;1;0;0;20;4;9.4;-0.8;Formado
1;0;1;19;6;8;0;0;1;0;1;24;5;11.1;0.6;Formado
1;1;19;1;4;1;0;0;1;0;0;19;6;10.8;1.4;Evasão
1;1;19;37;9;7;0;0;1;0;1;18;7;15.5;2.8;Formado
1;1;19;19;9;9;0;0;1;0;0;18;7;15.5;2.8;Formado
1;1;12;12;4;4;0;0;1;0;0;21;4;10.8;1.4;Evasão
1;1;1;19;5;4;0;0;1;0;0;19;5;7.6;2.6;Formado
1;1;19;37;7;7;0;0;1;0;1;19;6;15.5;2.8;Formado
3;1;1;37;6;6;0;1;1;0;0;47;0;8.9;1.4;Inscrito
1;1;19;19;7;8;0;0;1;0;0;19;5;13.9;-0.3;Formado
1;1;2;2;1;1;0;0;1;0;0;29;7;12.7;3.7;Formado
1;1;19;19;4;8;0;0;1;0;0;21;3;16.2;0.3;Evasão
1;1;37;19;9;7;0;0;1;0;0;28;4;12.7;3.7;Inscrito
1;1;37;37;3;10;0;0;1;0;0;20;7;15.5;2.8;Formado
1;1;2;38;4;5;0;0;1;0;0;19;6;7.6;2.6;Formado
1;0;19;2;4;6;0;0;1;0;0;26;3;9.4;-0.8;Formado
1;1;37;37;9;8;0;1;0;0;0;20;4;11.1;0.6;Evasão
1;1;37;37;9;9;0;0;1;0;1;18;3;7.6;2.6;Inscrito
1;1;37;19;9;5;0;0;1;0;0;27;5;7.6;2.6;Formado
1;1;34;34;90;90;0;0;1;0;0;20;4;7.6;2.6;Evasão
1;1;37;19;9;5;0;0;1;0;0;18;5;9.4;-0.8;Evasão
1;1;1;1;9;5;0;0;1;0;0;33;6;16.2;0.3;Evasão
1;1;3;1;3;3;0;0;1;0;0;35;21;12.4;0.5;Formado
1;0;37;19;9;8;0;0;1;0;1;26;6;9.4;-0.8;Inscrito
1;1;19;19;3;4;0;1;0;0;0;27;5;11.1;0.6;Evasão
1;1;1;37;5;5;0;0;0;0;0;19;6;15.5;2.8;Evasão
1;1;1;19;4;6;0;0;1;0;0;20;0;11.1;0.6;Evasão
1;1;3;3;5;7;0;1;0;0;0;20;3;10.8;1.4;Evasão
1;1;1;37;5;9;0;1;0;0;0;21;8;9.4;-0.8;Inscrito
1;1;38;1;9;4;0;0;1;0;1;18;6;7.6;2.6;Formado
1;1;1;19;9;9;0;0;1;0;0;24;2;8.9;1.4;Evasão
1;1;1;3;4;1;0;0;1;0;0;20;6;16.2;0.3;Formado
1;1;19;38;9;8;0;0;1;0;1;21;6;13.9;-0.3;Formado
1;0;1;37;7;3;0;0;1;0;0;23;2;9.4;-0.8;Inscrito
1;1;12;3;4;3;0;0;1;0;0;24;0;7.6;2.6;Evasão
1;1;1;1;4;10;0;0;1;0;0;21;0;12.4;0.5;Evasão
1;1;38;38;9;8;0;0;1;0;0;18;7;12.7;3.7;Formado
1;0;19;1;3;4;0;0;1;0;0;27;0;8.9;1.4;Evasão
1;1;37;37;5;5;0;0;1;0;0;18;8;9.4;-0.8;Formado
1;1;3;2;2;2;0;0;1;0;0;35;0;13.9;-0.3;Evasão
1;1;19;19;3;8;0;0;1;0;0;18;7;11.1;0.6;Formado
1;1;1;3;175;121;0;0;1;0;0;35;3;11.1;0.6;Inscrito
1;1;1;1;4;7;0;0;1;0;0;19;4;10.8;1.4;Formado
1;1;19;19;4;0;0;0;1;0;0;20;6;7.6;2.6;Formado
1;1;19;19;7;7;0;0;1;0;0;18;7;10.8;1.4;Formado
1;1;38;38;5;10;0;1;1;0;0;21;6;13.9;-0.3;Formado
1;1;19;37;9;8;0;0;1;0;1;18;5;16.2;0.3;Formado
1;1;34;34;0;0;0;0;1;0;0;18;4;7.6;2.6;Formado
1;1;19;38;9;9;0;0;1;0;0;18;7;12.7;3.7;Formado
1;1;3;19;1;4;0;0;1;0;1;18;6;16.2;0.3;Formado
1;1;19;1;8;7;0;0;1;0;0;19;6;13.9;-0.3;Formado
1;1;3;19;2;3;0;0;1;0;1;36;6;16.2;0.3;Evasão
1;1;38;1;7;4;0;0;1;0;1;18;7;12.7;3.7;Formado
1;1;37;37;9;9;0;0;1;0;1;18;6;7.6;2.6;Formado
1;1;1;3;9;2;0;0;1;0;1;20;6;13.9;-0.3;Formado
1;0;37;37;9;9;0;0;1;0;1;26;0;16.2;0.3;Evasão
1;1;1;1;4;5;0;0;1;0;0;21;6;7.6;2.6;Formado
1;1;1;1;4;5;0;0;1;0;0;25;6;15.5;2.8;Inscrito
1;1;19;3;5;5;0;0;1;0;1;19;5;12.4;0.5;Formado
1;0;19;37;8;7;0;0;1;0;0;24;1;9.4;-0.8;Evasão
1;0;1;19;5;4;0;0;1;0;1;27;1;8.9;1.4;Evasão
1;1;19;37;1;3;0;0;1;0;0;21;0;7.6;2.6;Evasão
1;1;38;38;7;7;0;0;1;0;1;18;4;9.4;-0.8;Formado
2;1;37;37;5;7;1;0;1;0;1;19;6;10.8;1.4;Formado
1;1;1;1;3;3;0;0;1;0;0;18;4;9.4;-0.8;Evasão
1;1;19;1;5;9;0;0;1;0;1;19;5;11.1;0.6;Formado
1;1;1;38;4;5;0;0;1;0;1;19;6;16.2;0.3;Formado
2;0;40;5;3;3;0;0;1;0;0;33;6;11.1;0.6;Formado
2;1;1;4;3;10;0;0;1;0;0;45;5;12.4;0.5;Formado
1;1;1;1;9;9;0;0;1;0;1;20;6;11.1;0.6;Formado
1;1;34;34;0;0;0;0;1;0;0;28;0;7.6;2.6;Evasão
1;1;1;1;5;8;0;0;1;0;1;19;7;12.7;3.7;Formado
1;1;1;37;4;5;0;0;1;0;0;18;6;12.7;3.7;Formado
1;1;19;19;4;6;0;0;1;0;0;38;0;15.5;2.8;Evasão
1;1;1;3;4;3;0;0;1;0;0;19;5;9.4;-0.8;Formado
1;1;1;37;9;9;0;0;1;0;1;21;5;15.5;2.8;Formado
1;1;37;1;9;10;0;0;1;0;0;21;3;16.2;0.3;Evasão
1;1;38;37;9;9;0;0;1;0;1;22;5;10.8;1.4;Formado
1;1;19;19;5;7;0;0;1;0;1;18;5;9.4;-0.8;Formado
1;1;37;37;3;9;1;0;1;0;1;18;6;15.5;2.8;Formado
1;1;19;1;9;9;0;0;0;0;0;25;4;9.4;-0.8;Evasão
1;1;19;19;9;7;0;1;0;0;0;24;3;16.2;0.3;Evasão
1;1;3;1;4;4;0;0;1;0;0;19;6;12.4;0.5;Inscrito
1;1;3;3;3;3;0;0;1;0;0;24;11;12.4;0.5;Inscrito
1;1;37;19;5;5;0;0;1;0;1;20;5;12.4;0.5;Formado
1;1;37;1;9;1;0;0;0;0;0;25;0;10.8;1.4;Evasão
1;1;38;19;9;10;0;0;1;0;1;20;9;8.9;1.4;Formado
1;1;19;38;5;3;0;0;1;0;0;23;8;9.4;-0.8;Formado
1;1;19;37;7;6;0;0;1;0;1;19;7;10.8;1.4;Formado
1;1;37;37;9;10;0;1;0;0;0;29;3;13.9;-0.3;Evasão
1;1;19;37;4;7;0;0;1;0;0;21;6;11.1;0.6;Formado
1;1;19;1;9;8;0;0;1;0;1;18;6;11.1;0.6;Formado
1;1;19;38;9;9;0;0;1;0;0;19;5;9.4;-0.8;Inscrito
1;1;38;37;7;7;0;0;1;0;1;18;6;8.9;1.4;Evasão
1;1;9;19;90;6;0;0;1;0;0;19;5;7.6;2.6;Formado
1;1;37;37;9;8;0;0;1;0;0;18;1;9.4;-0.8;Inscrito
1;1;1;1;4;4;0;0;1;0;0;18;5;8.9;1.4;Formado
2;1;38;37;7;7;0;1;0;0;1;37;1;8.9;1.4;Evasão
1;0;37;37;6;6;0;0;1;0;0;29;5;16.2;0.3;Formado
1;1;37;37;9;9;0;0;1;0;0;18;6;7.6;2.6;Inscrito
1;1;1;1;9;8;0;0;1;0;1;19;5;12.4;0.5;Formado
1;1;1;1;3;1;0;1;0;0;0;22;6;16.2;0.3;Evasão
1;1;37;38;9;7;0;0;1;0;1;20;6;15.5;2.8;Formado
1;0;37;37;99;99;0;0;1;0;0;34;0;12.7;3.7;Evasão
1;1;37;38;9;9;0;1;0;0;0;30;8;7.6;2.6;Evasão
1;1;1;1;4;4;0;0;1;0;0;18;6;10.8;1.4;Formado
1;1;38;19;9;5;0;0;1;0;0;18;6;12.4;0.5;Formado
1;1;3;1;1;3;0;0;1;0;0;18;4;9.4;-0.8;Formado
1;1;4;1;2;3;0;0;1;0;0;18;7;12.7;3.7;Formado
1;1;38;38;9;9;0;0;1;0;1;19;5;12.7;3.7;Formado
1;1;37;37;9;9;0;0;1;0;1;19;6;10.8;1.4;Formado
1;1;1;1;9;9;0;0;1;0;1;18;7;12.7;3.7;Formado
1;1;37;38;4;8;0;0;1;0;1;21;6;13.9;-0.3;Formado
1;1;1;19;9;9;0;0;0;0;0;20;2;7.6;2.6;Evasão
1;1;12;19;4;8;0;0;1;0;0;20;5;13.9;-0.3;Formado
1;1;5;1;2;5;0;0;1;0;0;19;7;11.1;0.6;Formado
1;1;1;38;4;5;0;0;1;0;0;20;6;16.2;0.3;Formado
1;1;12;1;4;10;0;0;1;0;0;18;7;13.9;-0.3;Formado
1;1;37;38;3;3;0;0;1;0;0;20;5;12.7;3.7;Evasão
2;1;5;4;2;0;0;1;0;0;0;29;7;7.6;2.6;Evasão
1;1;19;19;5;6;0;0;1;0;1;18;7;12.4;0.5;Inscrito
1;1;19;19;5;5;0;0;1;0;1;20;7;15.5;2.8;Formado
1;1;38;37;9;9;0;0;1;0;1;22;4;16.2;0.3;Formado
4;0;39;19;4;10;0;0;1;0;1;47;5;16.2;0.3;Formado
2;0;37;37;8;4;0;0;1;0;0;31;5;8.9;1.4;Formado
1;1;19;37;7;5;0;0;1;0;1;21;5;16.2;0.3;Formado
1;0;38;38;0;0;0;0;1;0;0;21;5;7.6;2.6;Formado
2;1;1;1;4;4;0;0;1;0;0;24;6;7.6;2.6;Formado
1;1;4;37;2;9;0;0;1;0;0;18;6;15.5;2.8;Inscrito
1;0;34;1;90;2;0;0;1;0;0;32;4;7.6;2.6;Formado
1;0;3;1;3;4;0;0;1;0;1;19;6;10.8;1.4;Formado
1;1;3;3;1;1;0;0;1;0;0;24;8;9.4;-0.8;Formado
1;1;19;19;4;10;0;0;1;0;0;19;6;15.5;2.8;Formado
1;1;19;37;6;6;0;1;1;0;1;19;6;13.9;-0.3;Formado
1;1;37;37;9;4;0;0;1;0;0;24;6;12.4;0.5;Inscrito
1;1;19;19;191;144;0;0;1;0;1;18;6;8.9;1.4;Formado
1;1;38;37;3;6;0;0;1;0;1;19;5;8.9;1.4;Evasão
2;1;3;38;2;4;0;0;1;0;1;19;7;10.8;1.4;Formado
1;1;19;38;9;8;0;0;1;0;1;18;6;12.4;0.5;Formado
1;1;1;1;3;3;0;0;1;0;0;18;6;12.4;0.5;Formado
1;1;1;1;4;10;0;0;1;0;0;20;7;12.4;0.5;Formado
1;1;19;38;5;7;0;0;1;0;0;18;8;9.4;-0.8;Formado
1;1;38;38;9;7;0;0;1;0;0;18;6;11.1;0.6;Formado
1;1;38;37;9;9;0;0;1;0;1;21;4;10.8;1.4;Formado
1;1;19;19;4;9;0;0;1;0;1;18;7;15.5;2.8;Formado
1;1;19;19;5;5;0;1;0;0;0;18;2;9.4;-0.8;Evasão
1;1;1;11;4;3;0;0;1;0;0;19;0;9.4;-0.8;Evasão
1;1;1;19;4;10;0;0;1;0;0;19;4;10.8;1.4;Inscrito
1;1;1;19;5;5;0;0;1;0;0;18;6;11.1;0.6;Formado
1;1;3;1;90;90;0;0;1;0;0;34;1;12.7;3.7;Evasão
1;1;11;11;90;90;0;0;1;0;0;19;5;7.6;2.6;Formado
1;1;37;37;7;8;0;1;0;0;0;19;5;12.4;0.5;Evasão
1;1;3;19;2;1;0;1;1;0;0;26;6;11.1;0.6;Formado
1;1;34;34;0;0;0;0;1;0;0;21;3;7.6;2.6;Evasão
1;1;19;19;4;8;0;0;1;0;1;18;5;11.1;0.6;Formado
1;1;38;38;5;7;0;0;1;0;1;20;5;9.4;-0.8;Formado
1;1;1;1;4;4;0;0;1;0;0;25;2;11.1;0.6;Evasão
1;1;1;38;4;3;0;0;1;0;0;18;5;11.1;0.6;Formado
1;1;19;19;3;6;0;0;1;0;1;18;7;16.2;0.3;Formado
1;1;41;19;3;5;0;0;1;0;0;19;7;11.1;0.6;Formado
1;1;19;38;5;9;0;0;1;0;1;18;6;12.4;0.5;Formado
1;1;38;38;7;7;0;0;1;0;0;20;6;15.5;2.8;Inscrito
1;1;19;19;9;5;0;1;0;0;0;26;0;8.9;1.4;Evasão
1;1;37;37;7;9;0;0;1;0;1;19;7;10.8;1.4;Formado
1;1;1;1;5;1;0;0;1;0;0;19;7;16.2;0.3;Formado
1;1;37;37;9;9;0;0;1;0;0;19;5;7.6;2.6;Formado
1;1;1;19;7;5;0;0;1;0;0;19;3;7.6;2.6;Inscrito
1;1;19;19;5;8;0;0;1;0;0;18;6;16.2;0.3;Formado
1;1;1;37;9;9;0;0;1;0;0;19;6;7.6;2.6;Formado
1;1;1;1;9;6;0;1;1;0;0;18;6;13.9;-0.3;Formado
1;1;2;19;4;4;0;0;1;0;0;18;5;9.4;-0.8;Inscrito
1;1;19;38;9;5;0;0;1;0;0;18;5;9.4;-0.8;Inscrito
1;1;1;38;9;6;0;0;1;0;0;18;5;11.1;0.6;Inscrito
1;1;19;37;4;7;0;1;1;0;0;26;0;16.2;0.3;Evasão
1;1;38;38;7;7;0;0;1;0;0;20;6;12.4;0.5;Formado
1;0;37;38;9;10;0;0;1;0;0;19;6;12.7;3.7;Formado
1;1;34;37;4;9;0;0;1;0;1;18;6;9.4;-0.8;Formado
1;1;38;37;7;7;0;0;1;0;0;19;6;13.9;-0.3;Formado
1;1;41;3;2;1;0;1;1;0;0;40;7;12.4;0.5;Formado
1;1;38;38;7;7;0;0;1;0;1;18;8;9.4;-0.8;Formado
1;1;3;1;9;10;0;0;1;0;0;19;5;13.9;-0.3;Formado
1;1;2;9;3;5;0;0;1;0;0;18;4;7.6;2.6;Formado
1;1;1;2;3;1;0;0;1;0;0;19;4;9.4;-0.8;Inscrito
1;1;3;3;2;2;0;0;1;0;0;18;0;15.5;2.8;Evasão
2;0;37;37;9;9;0;0;1;0;0;33;6;12.4;0.5;Formado
1;1;3;3;1;2;0;0;1;0;0;35;6;16.2;0.3;Formado
1;1;37;38;9;1;0;0;1;0;0;26;4;9.4;-0.8;Inscrito
1;1;19;19;7;5;0;0;1;0;0;18;6;9.4;-0.8;Formado
1;1;37;37;9;9;0;0;1;0;0;36;13;15.5;2.8;Inscrito
4;0;37;37;6;6;0;0;1;0;0;39;5;10.8;1.4;Formado
2;1;37;37;9;9;0;0;1;0;0;44;6;12.7;3.7;Formado
1;0;3;1;3;9;0;0;1;0;0;20;5;9.4;-0.8;Inscrito
1;1;19;19;9;9;0;0;1;0;0;24;4;12.7;3.7;Evasão
1;1;19;19;9;8;0;0;1;0;1;20;6;12.4;0.5;Formado
